lizard,rep,uniID,status,relocation,year,ground,mesohabitat,Aspect.x,Slope.x,Elev.x,KDF.x,Shrub_Cov.x,NDVI.x,Solar.x,FID,x_utm,y_utm,long,lat,gender,mass,SVL_mm,tail,tail_mm,ID_heather,geometry,
200,1096,35403,0,NA,2018,above,shrub,264.8059998,3.94906,720,0.0034934,0.0538552,0.219512,380201,3822,261141.5015,3888781.45,-119.620907,35.113576,m,32.86,103,intact,213,10,c(807982.03113144, 3890865.75928343)
j,29610,35735,1,1046,2016,above,open,270,4.2891502,720,0.0040292,0.0543404,0.224589,379825,1497,261141.5015,3888801.45,-119.620913,35.113756,f,23,92,NA,NA,NA,c(807980.80569686, 3890885.71422536)
j,294,35735,1,402,2016,above,shrub,270,4.2891502,720,0.0040292,0.0543404,0.224589,379825,1497,261141.5015,3888801.45,-119.620913,35.113756,f,23,92,NA,NA,NA,c(807980.80569686, 3890885.71422536)
j,295,35735,1,410,2016,above,shrub,270,4.2891502,720,0.0040292,0.0543404,0.224589,379825,1497,261141.5015,3888801.45,-119.620913,35.113756,f,23,92,NA,NA,NA,c(807980.80569686, 3890885.71422536)
j,29810,35735,1,1051,2016,above,open,270,4.2891502,720,0.0040292,0.0543404,0.224589,379825,1497,261141.5015,3888801.45,-119.620913,35.113756,f,23,92,NA,NA,NA,c(807980.80569686, 3890885.71422536)
l,297,35735,1,1047,2016,above,shrub,270,4.2891502,720,0.0040292,0.0543404,0.224589,379825,1497,261141.5015,3888801.45,-119.620913,35.113756,uk,NA,NA,NA,NA,NA,c(807980.80569686, 3890885.71422536)
j,333,36067,1,409,2016,above,shrub,270,3.5763299,720,0.0039135,0.0326145,0.232847,380100,563,261141.5015,3888821.45,-119.620919,35.113936,f,23,92,NA,NA,NA,c(807979.580261654, 3890905.66916764)
j,334,36067,1,1052,2016,above,shrub,270,3.5763299,720,0.0039135,0.0326145,0.232847,380100,563,261141.5015,3888821.45,-119.620919,35.113936,f,23,92,NA,NA,NA,c(807979.580261654, 3890905.66916764)
13,14621,36731,0,NA,2018,below,shrub,315,0.506415,720,0.0021626,0.0370427,0.243533,380547,649,261141.5015,3888861.45,-119.620931,35.114297,m,36.69,113,intact,205,24,c(807977.125620672, 3890945.69001722)
12,17501,37727,0,NA,2018,below,open,278.1300049,2.5304899,719,0.0005464,0.0070858,0.244792,380071,3543,261141.5015,3888921.45,-119.620948,35.114837,m,22.65,93,intact,196,15,c(807973.540485512, 3891005.55794482)
39,175011,37727,0,NA,2018,below,open,278.1300049,2.5304899,719,0.0005464,0.0070858,0.244792,380071,3543,261141.5015,3888921.45,-119.620948,35.114837,f,32.24,102,dropped,196,28,c(807973.540485512, 3891005.55794482)
80,175012,37727,0,NA,2018,below,open,278.1300049,2.5304899,719,0.0005464,0.0070858,0.244792,380071,3543,261141.5015,3888921.45,-119.620948,35.114837,f,31.75,106,intact,186,4,c(807973.540485512, 3891005.55794482)
960,6171,51340,0,NA,2017,below,shrub,263.6600037,3.23927,736,0,0.007222,0.250549,380951,3528,261161.5015,3889741.45,-119.620965,35.122228,m,46.5,110,tail tipped,NA,NA,c(807944.133370344, 3891825.64073049)
z,61711,51340,0,NA,2016,below,open,263.6600037,3.23927,736,0,0.007222,0.250549,380951,3528,261161.5015,3889741.45,-119.620965,35.122228,f,24,102,NA,NA,NA,c(807944.133370344, 3891825.64073049)
7,902,39055,0,1540,2018,below,open,291.8009949,3.8510301,719,0.0028882,0.0185781,0.244577,379106,4489,261141.5015,3889001.45,-119.620971,35.115558,NA,NA,NA,NA,NA,NA,c(807968.726133499, 3891085.49178481)
980,9021,39055,1,1540,2017,below,open,291.8009949,3.8510301,719,0.0028882,0.0185781,0.244577,379106,4489,261141.5015,3889001.45,-119.620971,35.115558,m,37,100,"tail tipped, mites",NA,NA,c(807968.726133499, 3891085.49178481)
j,6398,52004,0,NA,2016,below,shrub,282.9949951,4.7666001,736,0,0.0396985,0.23291,379379,7918,261161.5015,3889781.45,-119.620977,35.122589,f,23,92,NA,NA,NA,c(807941.678578144, 3891865.66161189)
16,2232,39387,0,NA,2018,above,shrub,315,2.5304899,718,0.0036849,0.0142494,0.246579,379137,9259,261141.5015,3889021.45,-119.620977,35.115738,f,27.52,103,intact,202,22,c(807967.500691619, 3891105.44673047)
960,22321,39387,0,NA,2017,below,open,315,2.5304899,718,0.0036849,0.0142494,0.246579,379137,9259,261141.5015,3889021.45,-119.620977,35.115738,m,46.5,110,tail tipped,NA,NA,c(807967.500691619, 3891105.44673047)
