,rep,uniID,status,year,x_utm,y_utm,long,lat,geometry,lizard.y,twenty_meter,ground_truth
88,320,32409,0,2018,261021.5015,3888601.45,-119.622171,35.111926,c(807872.996213623, 3890678.75525152),1,1
6,11,31409,0,2016,260941.5015,3888541.45,-119.623031,35.111367,c(807796.685635839, 3890614.06465),1,2
53,188,31732,0,2018,260761.5015,3888561.45,-119.62501,35.111504,c(807615.721258016, 3890623.14413569),2,2
68,244,32064,0,2018,260761.5015,3888581.45,-119.625015,35.111684,c(807614.587853275, 3890643.10216047),2,2
72,261,32083,0,2018,261141.5015,3888581.45,-119.62085,35.111775,c(807994.015667156, 3890666.08962848),1,2
2766,31010,32399,0,2018,260821.5015,3888601.45,-119.624363,35.111879,c(807673.304023461, 3890666.75685351),2,2
91,336,32425,0,2018,261341.5015,3888601.45,-119.618663,35.112002,c(808192.573484992, 3890698.05314632),1,2
19,66,30738,0,2016,260801.5015,3888501.45,-119.624554,35.110973,c(807659.298937313, 3890565.63277509),3,3
1,2,31077,0,2016,260941.5015,3888521.45,-119.623025,35.111187,c(807797.910618991, 3890594.10971578),3,3
4,8,31079,0,2018,260981.5015,3888521.45,-119.622586,35.111196,c(807837.90562382, 3890596.46704079),3,3
39,140,31400,0,2018,260761.5015,3888541.45,-119.625004,35.111324,c(807616.945843522, 3890603.18920411),3,3
56,195,31739,0,2018,260901.5015,3888561.45,-119.623475,35.111537,c(807755.560768941, 3890631.55456615),3,3
15,49,31744,0,2018,261001.5015,3888561.45,-119.622379,35.111561,c(807855.405418248, 3890637.60957497),1,3
70,248,32068,0,2016,260841.5015,3888581.45,-119.624138,35.111703,c(807694.48240912, 3890647.92326708),3,3
2789,33510,32424,0,2016,261321.5015,3888601.45,-119.618882,35.111997,c(808172.623649517, 3890696.81972933),3,3
18,65,30737,0,2016,260781.5015,3888501.45,-119.624773,35.110968,c(807639.348857372, 3890564.40055451),4,4
2,3,31078,0,2018,260961.5015,3888521.45,-119.622806,35.111191,c(807817.864413893, 3890595.2313267),2,4
40,142,31402,0,2018,260801.5015,3888541.45,-119.624565,35.111334,c(807656.937008794, 3890605.65669566),4,4
30,100,31070,0,2018,260801.5015,3888521.45,-119.62456,35.111153,c(807658.074264643, 3890585.58770665),5,5
54,191,31735,0,2016,260821.5015,3888561.45,-119.624352,35.111518,c(807675.666045419, 3890626.73293002),6,9
74,268,32090,0,2018,261281.5015,3888581.45,-119.619315,35.111808,c(808133.854761864, 3890674.50595299),16,17
3,7,30054,0,2018,260401.5015,3888461.45,-119.628927,35.110518,c(807262.270028225, 3890501.62628331),3,3
2547,8793,30055,0,2018,260421.5015,3888461.45,-119.628708,35.110523,c(807282.220212911, 3890502.85766263),4,4
5,9,30056,0,2018,260441.5015,3888461.45,-119.628489,35.110527,c(807302.174156555, 3890503.97812245),6,6
7,16,30381,0,2018,260301.5015,3888481.45,-119.630029,35.110674,c(807161.200585122, 3890515.53284763),11,12
8,24,30389,0,2017,260461.5015,3888481.45,-119.628275,35.110712,c(807320.991603088, 3890525.16760524),3,4
9,27,30392,0,2018,260521.5015,3888481.45,-119.627617,35.110727,c(807380.933196537, 3890528.86536547),3,3
10,28,30393,0,2016,260541.5015,3888481.45,-119.627398,35.110731,c(807400.887092837, 3890529.98604693),2,2
11,35,30400,0,2016,260681.5015,3888481.45,-119.625863,35.110765,c(807540.724142527, 3890538.50402081),6,5
12,36,30401,0,2016,260701.5015,3888481.45,-119.625644,35.110769,c(807560.678033894, 3890539.62505612),0,0
2792,37100,30709,0,2016,260221.5015,3888501.45,-119.630912,35.110835,c(807080.081668222, 3890530.67145338),11,12
2793,38100,30710,0,2016,260241.5015,3888501.45,-119.630692,35.11084,c(807100.12295448, 3890531.90552286),12,11
13,39,30711,0,2016,260261.5015,3888501.45,-119.630473,35.110845,c(807120.073057662, 3890533.13654913),13,13
14,40,30712,0,2018,260281.5015,3888501.45,-119.630254,35.11085,c(807140.023159919, 3890534.36761959),12,12
2807,54100,30726,0,2016,260561.5015,3888501.45,-119.627185,35.110916,c(807419.613086365, 3890551.17266356),7,8
17,61,30733,0,2018,260701.5015,3888501.45,-119.62565,35.110949,c(807559.453583081, 3890559.57998569),3,4
2829,68100,30740,0,2018,260841.5015,3888501.45,-119.624115,35.110983,c(807699.290276627, 3890568.10044246),1,1
2833,72100,31042,0,2018,260241.5015,3888521.45,-119.630698,35.11102,c(807098.899520788, 3890551.86044519),14,16
21,73,31043,0,2018,260261.5015,3888521.45,-119.630479,35.111025,c(807118.849579762, 3890553.09147179),9,10
22,74,31044,0,2017,260281.5015,3888521.45,-119.63026,35.11103,c(807138.79963781, 3890554.32254257),8,7
23,78,31048,0,2016,260361.5015,3888521.45,-119.629383,35.111049,c(807218.694801632, 3890559.13939279),10,10
24,80,31050,0,2017,260401.5015,3888521.45,-119.628944,35.111058,c(807258.689849424, 3890561.4941464),7,7
25,85,31055,0,2016,260501.5015,3888521.45,-119.627848,35.111082,c(807358.535043108, 3890567.54361736),8,8
27,90,31060,0,2018,260601.5015,3888521.45,-119.626752,35.111106,c(807458.380216142, 3890573.59419502),0,0
28,91,31061,0,2018,260621.5015,3888521.45,-119.626533,35.111111,c(807478.33025945, 3890574.82601783),1,1
2567,11210,31372,0,2018,260201.5015,3888541.45,-119.631143,35.111191,c(807057.681115448, 3890569.46132296),19,21
2573,11910,31379,0,2018,260341.5015,3888541.45,-119.629608,35.111224,c(807197.521091498, 3890577.86306936),16,15
34,123,31383,0,2016,260421.5015,3888541.45,-119.628731,35.111243,c(807277.41606892, 3890582.68045253),6,8
2580,12710,31387,0,2017,260501.5015,3888541.45,-119.627854,35.111262,c(807357.311033515, 3890587.49854431),12,12
37,136,31396,0,2018,260681.5015,3888541.45,-119.625881,35.111305,c(807537.05092082, 3890598.36880956),2,2
38,138,31398,0,2018,260721.5015,3888541.45,-119.625442,35.111315,c(807577.042092981, 3890600.83594639),0,0
2608,15610,31700,0,2018,260121.5015,3888561.45,-119.632025,35.111352,c(806976.654115209, 3890584.60389606),18,20
44,158,31702,0,2018,260161.5015,3888561.45,-119.631587,35.111361,c(807016.557822025, 3890586.95450053),15,13
45,165,31709,0,2016,260301.5015,3888561.45,-119.630052,35.111395,c(807156.393741996, 3890595.46659341),13,13
47,170,31714,0,2016,260401.5015,3888561.45,-119.628956,35.111419,c(807256.238512645, 3890601.51496101),12,15
48,171,31715,0,2016,260421.5015,3888561.45,-119.628737,35.111423,c(807276.192235735, 3890602.6353785),17,
49,177,31721,0,2017,260541.5015,3888561.45,-119.627421,35.111452,c(807396.078122481, 3890609.91981105),4,4
50,178,31722,0,2016,260561.5015,3888561.45,-119.627202,35.111457,c(807416.0280799, 3890611.15150195),4,4
2644,18210,31726,0,2016,260641.5015,3888561.45,-119.626325,35.111476,c(807495.922844298, 3890615.97083532),1,1
52,185,31729,0,2018,260701.5015,3888561.45,-119.625667,35.11149,c(807555.867645366, 3890619.55883249),1,1
58,210,32029,0,2016,260061.5015,3888581.45,-119.632689,35.111518,c(806915.486208686, 3890600.97467355),17,18
55,193,31737,0,2018,260861.5015,3888561.45,-119.623913,35.111528,c(807715.657117027, 3890629.20068838),3,4
59,215,32035,0,2018,260181.5015,3888581.45,-119.631373,35.111546,c(807035.375674654, 3890608.14336019),15,15
2675,21610,32036,0,2018,260201.5015,3888581.45,-119.631154,35.111551,c(807055.325603537, 3890609.37425521),9,9
2679,21910,32039,0,2018,260261.5015,3888581.45,-119.630496,35.111565,c(807115.270323706, 3890612.95932961),13,15
2685,22210,32042,0,2016,260321.5015,3888581.45,-119.629839,35.11158,c(807175.120097199, 3890616.6526781),14,12
2686,22310,32043,0,2018,260341.5015,3888581.45,-119.629619,35.111584,c(807195.164959914, 3890617.77600762),11,11
63,225,32045,0,2016,260381.5015,3888581.45,-119.629181,35.111594,c(807235.064802923, 3890620.23854967),13,13
64,230,32050,0,2016,260481.5015,3888581.45,-119.628085,35.111618,c(807334.909336051, 3890626.28780447),8,8
2706,23510,32055,0,2018,260581.5015,3888581.45,-119.626989,35.111642,c(807434.753848524, 3890632.33816598),4,5
75,270,32359,0,2016,260021.5015,3888601.45,-119.633133,35.111688,c(806874.363388513, 3890618.46846722),6,6
76,272,32361,0,2018,260061.5015,3888601.45,-119.632695,35.111698,c(806914.263170776, 3890620.92959428),14,15
77,273,32362,0,2016,260081.5015,3888601.45,-119.632475,35.111703,c(806934.304241645, 3890622.1633101),20,21
78,279,32368,0,2017,260201.5015,3888601.45,-119.63116,35.111731,c(807054.102255786, 3890629.32917824),6,6
2739,28210,32371,0,2018,260261.5015,3888601.45,-119.630502,35.111746,c(807114.04308539, 3890633.02521724),11,11
80,290,32379,0,2018,260421.5015,3888601.45,-119.628748,35.111784,c(807273.831988955, 3890642.65928457),14,14
81,293,32382,0,2018,260481.5015,3888601.45,-119.628091,35.111798,c(807333.6853688, 3890646.2427321),9,9
82,296,32385,0,2016,260541.5015,3888601.45,-119.627433,35.111812,c(807393.629922959, 3890649.82966796),8,8
