lizard,X20,X25,X30,X35,X40,X45,X50,X55,X60,X65,X70,X75,X80,X85,X90,X95,X100
26,0,0,0,0,0,0,0,0,0,0.019978809,0.039957642,0.039957642,0.099894019,0.359857983,0.539755103,0.840012134,2.001388672
30,0,0,0,0,0,0,0,0.040045947,0.040045947,0.040045947,0.080091943,0.200268896,0.24022373,0.320902612,0.460949585,0.641462598,6.608630981
31,0,0,0,0,0.01997832,0.060023608,0.080201538,0.100270972,0.140332446,0.180285986,0.180285986,0.200378198,0.220359644,0.280375366,0.400479834,0.400479834,5.060632422
35,0,0.03995437,0.03995437,0.03995437,0.119974072,0.160145703,0.320630737,0.340515674,0.340515674,0.340515674,0.400656348,0.621021973,0.621021973,0.70136521,0.94185,1.222624219,1.222624219
39,0,0.019979102,0.040049414,0.100073022,0.120049658,0.140028735,0.21994292,0.25990127,0.320032129,0.320032129,0.360204321,0.380274707,0.440517236,0.580502148,0.781122925,1.001641675,2.902353784
4,0,0,0,0,0,0,0,0,0,0,0,0.040044434,0.060022559,0.060022559,0.080106567,0.140349048,0.340307715
40,0.080322314,0.100302393,0.100302393,0.100302393,0.100302393,0.140367285,0.140367285,0.140367285,0.140367285,0.140367285,0.140367285,0.140367285,0.240372778,0.240372778,0.400822925,0.640967651,6.845278198
44,0.100271143,0.200273755,0.200273755,0.200273755,0.400441235,0.600757397,0.741197363,0.781217798,0.861224829,0.921605054,0.941697363,1.121031982,1.200947607,1.260882056,1.881133594,2.300947925,5.223546265
47,0.260149438,0.30009834,0.360032666,0.420299512,0.420299512,0.520090723,0.82060752,0.880818237,1.161357397,1.221859839,1.221859839,1.281882104,1.322017822,1.422013672,2.082391748,2.082391748,2.082391748
56,0.019978809,0.080001294,0.080001294,0.080001294,0.080001294,0.080001294,0.080001294,0.080001294,0.080001294,0.080001294,0.159914111,0.239829541,0.320034155,0.38018938,0.540761938,0.700958398,6.103652124
64,0,0,0,0,0.020070654,0.040047559,0.060115674,0.100072144,0.160010547,0.200257178,0.220123096,0.240302173,0.380459058,0.540464893,0.720689722,1.120425146,10.22921899
7,0,0,0,0,0,0,0,0,0,0,0,0.019978784,0.059936255,0.199962646,0.340190527,0.660818506,1.140954468
80,0,0,0.02006814,0.02006814,0.02006814,0.02006814,0.02006814,0.02006814,0.02006814,0.0600271,0.100077344,0.180196631,0.240549512,0.30057915,0.44062937,0.560883911,2.344073389
9,0.020181519,0.040273999,0.140448706,0.140448706,0.140448706,0.140448706,0.200251172,0.340282959,0.340282959,0.340282959,0.340282959,0.340282959,0.340282959,0.380355298,0.460384155,0.8803823,4.584805103
93,0,0,0,0,0,0,0,0,0,0,0.020069531,0.060112427,0.100061108,0.120039453,0.259993481,0.460370557,7.388003955
99,0,0,0,0,0,0,0,0,0.019979517,0.019979517,0.039959082,0.039959082,0.059938647,0.119963379,0.119963379,0.200063721,0.320243799
